rx_spreadFactor,rx_rssi,rx_loRaSNR,power,location,distance
10,-85.6,10.3,10,412,153.66165654342254
7,-90.2,8.280000000000001,10,412,153.66165654342254
8,-89.6,10.680000000000001,10,412,153.66165654342254
9,-90.8,8.819999999999999,10,412,153.66165654342254
10,-84.6,10.459999999999999,11,412,153.66165654342254
7,-86.6,9.66,11,412,153.66165654342254
8,-87.75,11.0,11,412,153.66165654342254
8,-102.0,7.8,11,412,620.0633141247224
9,-84.2,10.38,11,412,153.66165654342254
10,-86.0,11.274999999999999,12,412,153.66165654342254
10,-101.0,5.5,12,412,620.0633141247224
7,-83.6,9.14,12,412,153.66165654342254
8,-83.6,10.76,12,412,153.66165654342254
9,-84.4,7.719999999999999,12,412,153.66165654342254
10,-85.4,10.560000000000002,13,412,153.66165654342254
7,-82.4,7.62,13,412,153.66165654342254
8,-88.8,8.459999999999999,13,412,153.66165654342254
8,-89.5,10.6,13,412,153.66165654342254
8,-100.0,2.8,13,412,620.0633141247224
10,-82.0,10.920000000000002,14,412,153.66165654342254
7,-87.0,9.25,14,412,153.66165654342254
7,-105.0,3.2,14,412,620.0633141247224
8,-85.6,10.64,14,412,153.66165654342254
9,-84.8,10.48,14,412,153.66165654342254
10,-83.0,11.4,15,412,153.66165654342254
7,-86.0,9.14,15,412,153.66165654342254
8,-82.4,10.88,15,412,153.66165654342254
9,-86.8,11.64,15,412,153.66165654342254
10,-80.2,10.559999999999999,16,412,153.66165654342254
7,-82.4,9.680000000000001,16,412,153.66165654342254
8,-82.4,11.32,16,412,153.66165654342254
9,-88.0,11.9,16,412,153.66165654342254
10,-80.8,11.14,17,412,153.66165654342254
7,-82.0,7.859999999999999,17,412,153.66165654342254
8,-84.2,11.6,17,412,153.66165654342254
9,-85.0,11.9,17,412,153.66165654342254
10,-77.8,10.52,18,412,153.66165654342254
7,-81.6,9.76,18,412,153.66165654342254
8,-79.4,11.2,18,412,153.66165654342254
9,-82.6,11.64,18,412,153.66165654342254
10,-84.4,10.940000000000001,19,412,153.66165654342254
7,-82.4,9.419999999999998,19,412,153.66165654342254
8,-82.6,11.02,19,412,153.66165654342254
9,-88.0,11.98,19,412,153.66165654342254
10,-91.4,9.719999999999999,1,412,153.66165654342254
7,-96.2,9.16,1,412,153.66165654342254
8,-96.4,10.780000000000001,1,412,153.66165654342254
9,-91.5,5.925,1,412,153.66165654342254
9,-109.0,-8.5,1,412,620.0633141247224
10,-75.2,10.959999999999999,20,412,153.66165654342254
7,-84.4,9.5,20,412,153.66165654342254
8,-76.4,10.5,20,412,153.66165654342254
9,-76.5,11.75,20,412,153.66165654342254
9,-99.0,4.0,20,412,567.0271546735065
10,-99.5,7.75,2,412,153.66165654342254
10,-111.0,-0.2,2,412,620.0633141247224
7,-94.8,6.659999999999999,2,412,153.66165654342254
8,-91.75,10.875,2,412,153.66165654342254
8,-108.0,-8.5,2,412,567.0271546735065
9,-103.2,9.940000000000001,2,412,153.66165654342254
10,-99.4,8.76,3,412,153.66165654342254
7,-98.2,9.14,3,412,153.66165654342254
8,-100.8,10.0,3,412,153.66165654342254
9,-99.0,10.3,3,412,153.66165654342254
9,-114.0,-5.0,3,412,620.0633141247224
10,-89.6,8.74,4,412,153.66165654342254
7,-100.0,8.940000000000001,4,412,153.66165654342254
8,-104.4,8.32,4,412,153.66165654342254
9,-97.66666666666667,8.366666666666667,4,412,153.66165654342254
9,-113.0,-3.2,4,412,620.0633141247224
10,-95.8,10.7,5,412,153.66165654342254
7,-93.8,8.62,5,412,153.66165654342254
8,-95.2,9.7,5,412,153.66165654342254
9,-96.0,9.62,5,412,153.66165654342254
10,-87.4,11.819999999999999,6,412,153.66165654342254
7,-94.2,8.68,6,412,153.66165654342254
8,-94.75,10.925,6,412,153.66165654342254
8,-106.0,-4.0,6,412,620.0633141247224
9,-94.25,11.3,6,412,153.66165654342254
9,-115.0,3.2,6,412,620.0633141247224
10,-93.0,10.36,7,412,153.66165654342254
7,-98.6,9.1,7,412,153.66165654342254
8,-95.8,10.459999999999999,7,412,153.66165654342254
9,-96.0,11.2,7,412,153.66165654342254
10,-90.0,10.925,8,412,153.66165654342254
10,-105.0,6.0,8,412,620.0633141247224
7,-93.4,9.52,8,412,153.66165654342254
8,-93.25,11.125,8,412,153.66165654342254
8,-99.0,-4.0,8,412,620.0633141247224
9,-88.0,7.359999999999999,8,412,153.66165654342254
10,-91.8,10.440000000000001,9,412,153.66165654342254
7,-96.0,8.84,9,412,153.66165654342254
8,-94.5,10.925,9,412,153.66165654342254
8,-95.0,3.0,9,412,620.0633141247224
9,-93.0,12.179999999999998,9,48,153.66165654342254
9,-104.0,8.38,10,48,236.76582037092234
7,-104.4,7.839999999999999,10,48,236.76582037092234
8,-103.2,9.26,10,48,236.76582037092234
9,-108.2,7.640000000000001,10,48,236.76582037092234
10,-106.6,5.9399999999999995,11,48,236.76582037092234
7,-106.0,7.6000000000000005,11,48,236.76582037092234
7,-110.5,4.15,11,48,637.6836935590688
8,-101.75,10.125,11,48,236.76582037092234
8,-111.0,4.8,11,48,637.6836935590688
9,-103.4,8.02,11,48,236.76582037092234
10,-100.66666666666667,9.266666666666667,12,48,236.76582037092234
10,-111.0,0.9,12,48,637.6836935590688
7,-105.25,7.75,12,48,236.76582037092234
7,-114.0,-2.2,12,48,637.6836935590688
8,-104.66666666666667,8.4,12,48,236.76582037092234
8,-106.5,5.699999999999999,12,48,637.6836935590688
9,-109.33333333333333,7.733333333333333,12,48,236.76582037092234
9,-105.0,6.8,12,48,637.6836935590688
9,-109.0,-6.8,12,48,524.5022138600806
10,-102.0,8.533333333333333,13,48,236.76582037092234
10,-105.0,4.65,13,48,637.6836935590688
7,-104.25,7.725,13,48,236.76582037092234
7,-107.0,4.2,13,48,637.6836935590688
8,-99.0,10.2,13,48,236.76582037092234
8,-105.0,8.2,13,48,637.6836935590688
9,-102.4,11.180000000000001,13,48,236.76582037092234
10,-99.4,9.64,14,48,236.76582037092234
7,-99.0,9.433333333333334,14,48,236.76582037092234
7,-103.0,5.8,14,48,637.6836935590688
7,-108.0,-4.2,14,48,524.5022138600806
8,-102.25,9.325,14,48,236.76582037092234
8,-103.0,9.5,14,48,637.6836935590688
9,-103.75,11.0,14,48,236.76582037092234
9,-108.0,-4.0,14,48,524.5022138600806
10,-102.25,7.675,15,48,236.76582037092234
10,-107.0,6.2,15,48,637.6836935590688
7,-102.75,8.15,15,48,236.76582037092234
7,-109.0,4.8,15,48,637.6836935590688
8,-104.6,9.34,15,48,236.76582037092234
9,-100.0,11.8,15,48,236.76582037092234
9,-106.0,8.5,15,48,637.6836935590688
10,-93.5,10.575,16,48,236.76582037092234
10,-106.0,6.2,16,48,637.6836935590688
7,-100.0,9.299999999999999,16,48,236.76582037092234
7,-103.0,7.699999999999999,16,48,637.6836935590688
8,-100.2,10.02,16,48,236.76582037092234
9,-100.0,10.375,16,48,236.76582037092234
9,-102.0,9.0,16,48,637.6836935590688
10,-98.0,9.8,17,48,236.76582037092234
10,-107.66666666666667,6.533333333333334,17,48,637.6836935590688
7,-96.5,9.125,17,48,236.76582037092234
7,-108.0,6.2,17,48,637.6836935590688
8,-94.75,7.4,17,48,236.76582037092234
8,-103.0,8.8,17,48,637.6836935590688
9,-105.0,10.2,17,48,236.76582037092234
9,-107.0,8.825,17,48,637.6836935590688
10,-95.33333333333333,11.299999999999999,18,48,236.76582037092234
10,-100.5,6.5,18,48,637.6836935590688
7,-97.75,9.15,18,48,236.76582037092234
7,-102.0,7.0,18,48,637.6836935590688
8,-97.66666666666667,11.066666666666668,18,48,236.76582037092234
8,-102.5,8.9,18,48,637.6836935590688
9,-99.5,10.85,18,48,236.76582037092234
9,-111.0,4.2,18,48,637.6836935590688
10,-92.25,10.575,19,48,236.76582037092234
10,-102.0,8.5,19,48,637.6836935590688
7,-92.5,9.600000000000001,19,48,236.76582037092234
7,-107.0,6.8,19,48,637.6836935590688
8,-95.5,10.524999999999999,19,48,236.76582037092234
8,-102.0,9.5,19,48,637.6836935590688
9,-100.5,11.125,19,48,236.76582037092234
9,-106.0,7.0,19,48,637.6836935590688
10,-109.5,3.5999999999999996,1,48,236.76582037092234
10,-115.0,-3.2,1,48,637.6836935590688
7,-78.0,9.52,1,48,236.76582037092234
8,-98.0,9.959999999999999,1,48,236.76582037092234
9,-105.2,3.94,1,48,236.76582037092234
10,-96.2,7.58,20,48,236.76582037092234
7,-97.75,9.4,20,48,236.76582037092234
7,-101.0,7.5,20,48,637.6836935590688
8,-93.75,10.774999999999999,20,48,236.76582037092234
8,-101.0,3.5,20,48,637.6836935590688
9,-102.0,10.1,20,48,236.76582037092234
9,-101.0,9.166666666666666,20,48,637.6836935590688
10,-109.75,4.525,2,48,236.76582037092234
10,-107.0,-7.5,2,48,637.6836935590688
7,-110.0,4.75,2,48,236.76582037092234
7,-116.66666666666667,-4.6000000000000005,2,48,637.6836935590688
8,-107.0,7.5200000000000005,2,48,236.76582037092234
9,-107.6,6.540000000000001,2,48,236.76582037092234
10,-106.25,6.3,3,48,236.76582037092234
10,-115.0,-0.2,3,48,637.6836935590688
7,-108.6,5.720000000000001,3,48,236.76582037092234
8,-111.0,5.125,3,48,236.76582037092234
8,-115.0,0.0,3,48,637.6836935590688
9,-109.75,5.95,3,48,236.76582037092234
9,-119.0,-8.0,3,48,637.6836935590688
10,-107.75,6.3500000000000005,4,48,236.76582037092234
10,-112.0,-7.2,4,48,637.6836935590688
7,-107.6,6.14,4,48,236.76582037092234
8,-108.2,5.680000000000001,4,48,236.76582037092234
9,-109.0,7.68,4,48,236.76582037092234
10,-104.4,7.0200000000000005,5,48,236.76582037092234
7,-105.25,7.575,5,48,236.76582037092234
7,-114.0,-2.0,5,48,637.6836935590688
8,-111.4,5.96,5,48,236.76582037092234
9,-107.25,6.85,5,48,236.76582037092234
9,-117.0,-4.0,5,48,637.6836935590688
10,-109.0,3.775,6,48,236.76582037092234
10,-114.0,1.2,6,48,637.6836935590688
7,-110.2,5.26,6,48,236.76582037092234
8,-109.66666666666667,6.8999999999999995,6,48,236.76582037092234
8,-114.0,1.4,6,48,637.6836935590688
9,-111.0,6.65,6,48,236.76582037092234
9,-112.66666666666667,1.5,6,48,637.6836935590688
9,-103.4,5.9399999999999995,7,48,236.76582037092234
7,-105.8,7.720000000000001,7,48,236.76582037092234
8,-107.2,8.66,7,48,236.76582037092234
9,-102.0,7.8,7,48,236.76582037092234
9,-110.0,-10.8,7,48,524.5022138600806
10,-104.0,8.15,8,48,236.76582037092234
10,-111.0,3.0,8,48,637.6836935590688
7,-105.0,7.25,8,48,236.76582037092234
7,-114.0,-1.5,8,48,637.6836935590688
8,-105.5,9.5,8,48,236.76582037092234
8,-109.0,5.0,8,48,637.6836935590688
9,-105.8,9.24,8,48,236.76582037092234
10,-104.4,7.56,9,48,236.76582037092234
7,-102.0,8.075,9,48,236.76582037092234
7,-114.0,1.8,9,48,637.6836935590688
8,-103.8,9.16,9,48,236.76582037092234
9,-102.2,10.0,9,2,236.76582037092234
10,-71.0,10.98,10,2,79.56452940686118
7,-85.75,9.05,10,2,79.56452940686118
7,-98.0,7.8,10,2,756.0790687380501
8,-83.8,10.14,10,2,79.56452940686118
9,-72.6,11.680000000000001,10,2,79.56452940686118
10,-70.0,11.4,11,2,79.56452940686118
7,-76.8,8.24,11,2,79.56452940686118
8,-71.4,11.379999999999999,11,2,79.56452940686118
9,-73.6,11.920000000000002,11,2,79.56452940686118
10,-71.4,10.4,12,2,79.56452940686118
7,-72.8,9.680000000000001,12,2,79.56452940686118
8,-70.4,10.959999999999999,12,2,79.56452940686118
9,-75.4,11.559999999999999,12,2,79.56452940686118
10,-70.0,11.0,13,2,79.56452940686118
7,-70.0,8.98,13,2,79.56452940686118
8,-72.6,10.74,13,2,79.56452940686118
9,-71.2,11.5,13,2,79.56452940686118
10,-67.8,10.2,14,2,79.56452940686118
7,-71.0,9.52,14,2,79.56452940686118
8,-71.0,11.0,14,2,79.56452940686118
9,-71.8,11.16,14,2,79.56452940686118
10,-68.8,9.819999999999999,15,2,79.56452940686118
7,-65.8,9.18,15,2,79.56452940686118
8,-68.5,10.95,15,2,79.56452940686118
8,-94.0,7.5,15,2,756.0790687380501
9,-68.2,11.84,15,2,79.56452940686118
10,-65.6,10.559999999999999,16,2,79.56452940686118
7,-67.0,9.48,16,2,79.56452940686118
8,-66.6,11.5,16,2,79.56452940686118
9,-68.0,12.16,16,2,79.56452940686118
10,-66.25,10.925,17,2,79.56452940686118
10,-95.0,12.2,17,2,756.0790687380501
7,-68.2,9.5,17,2,79.56452940686118
8,-65.8,11.379999999999999,17,2,79.56452940686118
9,-66.2,11.8,17,2,79.56452940686118
10,-78.2,10.84,18,2,79.56452940686118
7,-67.5,9.175,18,2,79.56452940686118
7,-96.0,9.2,18,2,756.0790687380501
8,-69.2,11.1,18,2,79.56452940686118
9,-71.4,10.36,18,2,79.56452940686118
10,-70.2,10.92,19,2,79.56452940686118
7,-79.4,9.24,19,2,79.56452940686118
8,-73.4,11.4,19,2,79.56452940686118
9,-74.4,12.040000000000001,19,2,79.56452940686118
10,-86.0,12.125,1,2,79.56452940686118
10,-101.0,8.8,1,2,756.0790687380501
7,-85.0,5.1,1,2,79.56452940686118
7,-100.0,-0.2,1,2,756.0790687380501
7,-85.33333333333333,10.433333333333334,1,2,79.56452940686118
7,-101.0,9.35,1,2,756.0790687380501
9,-86.25,10.25,1,2,79.56452940686118
9,-102.0,10.0,1,2,756.0790687380501
10,-69.2,10.940000000000001,20,2,79.56452940686118
7,-64.8,8.6,20,2,79.56452940686118
8,-66.0,11.86,20,2,79.56452940686118
9,-70.8,12.059999999999999,20,2,79.56452940686118
10,-83.8,11.6,2,2,79.56452940686118
7,-84.2,9.26,2,2,79.56452940686118
8,-85.5,10.675,2,2,79.56452940686118
8,-103.0,9.2,2,2,756.0790687380501
9,-87.8,12.040000000000001,2,2,79.56452940686118
10,-87.6,11.24,3,2,79.56452940686118
7,-87.2,9.24,3,2,79.56452940686118
8,-91.66666666666667,10.5,3,2,79.56452940686118
8,-103.0,-2.0,3,2,756.0790687380501
9,-91.6,10.9,3,2,79.56452940686118
10,-88.4,12.040000000000001,4,2,79.56452940686118
7,-85.0,8.95,4,2,79.56452940686118
7,-110.0,3.0,4,2,756.0790687380501
8,-88.4,10.780000000000001,4,2,79.56452940686118
9,-91.0,11.65,4,2,79.56452940686118
9,-104.33333333333333,4.666666666666667,4,2,756.0790687380501
10,-84.0,9.95,5,2,79.56452940686118
10,-101.0,-10.0,5,2,756.0790687380501
7,-88.2,8.559999999999999,5,2,79.56452940686118
8,-85.25,9.575,5,2,79.56452940686118
8,-105.0,3.2,5,2,756.0790687380501
9,-86.6,11.24,5,2,79.56452940686118
9,-92.6,10.680000000000001,6,2,79.56452940686118
7,-82.0,9.433333333333334,6,2,79.56452940686118
7,-103.0,7.6,6,2,756.0790687380501
8,-89.0,11.34,6,2,79.56452940686118
